,County,Total Population,Income to Poverty Level Ratio,Per Capita Income vs Pop,Median House Value,GED Ratio,Unemployment,Inflation,Oil Prices,Interest Rate
0,accomack county,31338.33333,0.989725317,0.817282405,178566.6667,0.279729981,0.029,0.035,3.48,0.06875
1,albemarle county,116206.6667,0.90414004,0.405273845,329250,0.097905221,0.029,0.035,3.48,0.06875
2,alleghany county,14261.66667,0.982801862,2.167151765,129450,0.296163201,0.029,0.035,3.48,0.06875
3,amelia county,13217.16667,0.992635655,2.564246977,213066.6667,0.249439471,0.029,0.035,3.48,0.06875
4,amherst county,31495.16667,1.00927486,0.875329901,164816.6667,0.252670852,0.029,0.035,3.48,0.06875
5,appomattox county,16508.33333,1.005682263,1.890934302,176183.3333,0.186727823,0.029,0.035,3.48,0.06875
6,arlington county,267985,0.991301618,0.30024124,758516.6667,0.048495269,0.029,0.035,3.48,0.06875
7,augusta county,76119.66667,0.950686117,0.464420284,235983.3333,0.242663844,0.029,0.035,3.48,0.06875
8,bath county,4026.333333,0.965056716,9.080067869,176833.3333,0.255349034,0.029,0.035,3.48,0.06875
9,bedford county,89053.83333,0.988138414,0.396162074,214683.3333,0.210158598,0.029,0.035,3.48,0.06875
10,bland county,6043.333333,0.84294725,4.372274011,115733.3333,0.286631092,0.029,0.035,3.48,0.06875
11,botetourt county,33597.16667,1.00323669,1.151644576,246716.6667,0.206769012,0.029,0.035,3.48,0.06875
12,brunswick county,15548,0.891430953,1.521789995,124116.6667,0.304529525,0.029,0.035,3.48,0.06875
13,buchanan county,19945.16667,0.945727495,1.022080053,80366.66667,0.299545564,0.029,0.035,3.48,0.06875
14,buckingham county,17178.33333,1.196786662,1.308107942,160300,0.330464048,0.029,0.035,3.48,0.06875
15,campbell county,56219.66667,0.987030581,0.595165171,178166.6667,0.199515734,0.029,0.035,3.48,0.06875
16,caroline county,32538.33333,0.868293558,1.169830968,165083.3333,0.225302031,0.029,0.035,3.48,0.06875
17,carroll county,29497.5,0.992975739,1.027122504,121933.3333,0.258594102,0.029,0.035,3.48,0.06875
18,charles city county,6803,0.994890112,7.047875757,190850,0.296159612,0.029,0.035,3.48,0.06875
19,charlotte county,11555.83333,0.970960713,2.024052154,109066.6667,0.388629273,0.029,0.035,3.48,0.06875
20,chesterfield county,370360,0.991360078,0.111880558,223183.3333,0.144123238,0.029,0.035,3.48,0.06875
21,clarke county,14745,0.987394732,3.116188145,299783.3333,0.170641418,0.029,0.035,3.48,0.06875
22,craig county,5074,1.025551232,6.431066546,197150,0.384249059,0.029,0.035,3.48,0.06875
23,culpeper county,55087.83333,0.978102651,0.613565666,243683.3333,0.168599586,0.029,0.035,3.48,0.06875
24,cumberland county,9748.833333,0.985029439,3.15617631,137933.3333,0.231853789,0.029,0.035,3.48,0.06875
25,dickenson county,14003.66667,0.944321396,2.003186215,79733.33333,0.264588769,0.029,0.035,3.48,0.06875
26,dinwiddie county,29205.16667,0.971149513,1.042937259,159550,0.256676001,0.029,0.035,3.48,0.06875
27,essex county,11236.83333,1.006061216,2.517403485,181250,0.268488919,0.029,0.035,3.48,0.06875
28,fairfax county,1245514.167,0.990930966,0.048475042,578200,0.07696044,0.029,0.035,3.48,0.06875
29,fauquier county,73649.16667,0.996773915,0.693445685,365433.3333,0.164450521,0.029,0.035,3.48,0.06875
30,floyd county,16336.66667,0.989433098,1.887254999,200966.6667,0.236370919,0.029,0.035,3.48,0.06875
31,fluvanna county,27306,0.944376272,1.816933388,206983.3333,0.126220166,0.029,0.035,3.48,0.06875
32,franklin county,57786.16667,0.963217483,0.588092487,198550,0.224599174,0.029,0.035,3.48,0.06875
33,frederick county,94432,0.984526317,0.428352217,233750,0.207100039,0.029,0.035,3.48,0.06875
34,giles county,16428.16667,0.986328703,1.941392263,143633.3333,0.265105739,0.029,0.035,3.48,0.06875
35,gloucester county,37729.5,0.994019446,1.034869757,227566.6667,0.238954091,0.029,0.035,3.48,0.06875
36,goochland county,23767.33333,1.126822532,2.484077408,344600,0.170516335,0.029,0.035,3.48,0.06875
37,grayson county,15574.33333,0.91399372,1.402012128,97850,0.329618046,0.029,0.035,3.48,0.06875
38,greene county,20744.66667,0.99399907,1.975107741,258066.6667,0.180026865,0.029,0.035,3.48,0.06875
39,greensville county,11134,0.608403675,1.482710021,99833.33333,0.275130913,0.029,0.035,3.48,0.06875
40,halifax county,33300,0.974513786,0.742412234,129983.3333,0.27604597,0.029,0.035,3.48,0.06875
41,hanover county,109352.1667,0.98669351,0.406158854,262966.6667,0.154279267,0.029,0.035,3.48,0.06875
42,henrico county,351907.8333,0.997449562,0.12116011,232000,0.137594346,0.029,0.035,3.48,0.06875
43,henry county,48228,0.986001496,0.478635765,97833.33333,0.245187581,0.029,0.035,3.48,0.06875
44,highland county,2017.5,0.974995607,17.10668637,183583.3333,0.297603559,0.029,0.035,3.48,0.06875
45,isle of wight county,37965.66667,0.984147829,1.083124115,263316.6667,0.159494989,0.029,0.035,3.48,0.06875
46,james city county,84107.5,0.990909364,0.582519624,322566.6667,0.117796912,0.029,0.035,3.48,0.06875
47,king and queen county,7206,0.997400265,4.627881414,154316.6667,0.282936776,0.029,0.035,3.48,0.06875
48,king george county,29064.33333,1.034566236,1.446963455,290500,0.166117759,0.029,0.035,3.48,0.06875
49,king william county,17499,0.99704629,2.228164231,213866.6667,0.226951615,0.029,0.035,3.48,0.06875
50,lancaster county,10157.66667,1.027364432,4.251953791,212933.3333,0.259827257,0.029,0.035,3.48,0.06875
51,lee county,23032.66667,0.910019047,0.887120931,95933.33333,0.259229319,0.029,0.035,3.48,0.06875
52,loudoun county,478805.6667,0.995818781,0.118985316,472750,0.063996658,0.029,0.035,3.48,0.06875
53,louisa county,38488.33333,0.989724202,0.895422175,209650,0.217485991,0.029,0.035,3.48,0.06875
54,lunenburg county,11602.66667,0.916259369,1.681812347,128983.3333,0.280952503,0.029,0.035,3.48,0.06875
55,madison county,12925.16667,0.975437339,2.612973088,250183.3333,0.255078594,0.029,0.035,3.48,0.06875
56,mathews county,8595.666667,0.989243058,5.904589307,257483.3333,0.209317013,0.029,0.035,3.48,0.06875
57,mecklenburg county,28954.16667,0.971790116,0.922530317,151266.6667,0.186651556,0.029,0.035,3.48,0.06875
58,middlesex county,10586.16667,0.955382096,2.955431155,274900,0.216200734,0.029,0.035,3.48,0.06875
59,montgomery county,103649,0.946858846,0.345686623,254983.3333,0.115846067,0.029,0.035,3.48,0.06875
60,nelson county,14632.16667,0.988314261,2.980658977,310016.6667,0.222070218,0.029,0.035,3.48,0.06875
61,new kent county,24487,0.984686583,1.657698161,275233.3333,0.208081286,0.029,0.035,3.48,0.06875
62,northampton county,11338.5,0.957125021,2.538969478,121966.6667,0.254193333,0.029,0.035,3.48,0.06875
63,northumberland county,12026.66667,0.998220706,3.210430564,311116.6667,0.264731964,0.029,0.035,3.48,0.06875
64,nottoway county,15213.16667,0.840753305,1.641213993,152300,0.258511131,0.029,0.035,3.48,0.06875
65,orange county,38516.66667,0.975781915,0.952759235,214350,0.240379064,0.029,0.035,3.48,0.06875
66,page county,23372.83333,0.994420132,1.128276236,171833.3333,0.323391673,0.029,0.035,3.48,0.06875
67,patrick county,17113,0.983233056,1.554854948,131666.6667,0.247012157,0.029,0.035,3.48,0.06875
68,pittsylvania county,60386.16667,0.976429262,0.459466492,132166.6667,0.245487193,0.029,0.035,3.48,0.06875
69,powhatan county,29399,1.067032884,1.577617758,258216.6667,0.192016421,0.029,0.035,3.48,0.06875
70,prince edward county,23289.16667,0.707027844,1.016447994,166333.3333,0.111028545,0.029,0.035,3.48,0.06875
71,prince george county,40752.5,0.952679201,0.763238624,230750,0.192424056,0.029,0.035,3.48,0.06875
72,prince william county,537646.3333,0.9924568,0.076811104,344200,0.121197268,0.029,0.035,3.48,0.06875
73,pulaski county,33515.5,0.967777548,0.963015017,168950,0.226829572,0.029,0.035,3.48,0.06875
74,rappahannock county,7318.666667,0.994753677,5.22490031,287383.3333,0.254825023,0.029,0.035,3.48,0.06875
75,richmond county,8417.666667,0.781736236,2.80094133,212266.6667,0.264879881,0.029,0.035,3.48,0.06875
76,roanoke county,95786.66667,0.972920872,0.402204645,200716.6667,0.176110379,0.029,0.035,3.48,0.06875
77,rockbridge county,22802.33333,0.979185715,1.719273619,240850,0.239199592,0.029,0.035,3.48,0.06875
78,rockingham county,84020,0.973519445,0.421297088,225716.6667,0.2188801,0.029,0.035,3.48,0.06875
79,russell county,26080.33333,0.97801887,0.966460659,109750,0.261398122,0.029,0.035,3.48,0.06875
80,scott county,20837.16667,0.942993185,1.137797241,104466.6667,0.254131709,0.029,0.035,3.48,0.06875
81,shenandoah county,44718.16667,0.986891584,0.701545964,195983.3333,0.249243043,0.029,0.035,3.48,0.06875
82,smyth county,29786.66667,0.98169458,0.829141476,103183.3333,0.283564479,0.029,0.035,3.48,0.06875
83,southampton county,17434.33333,0.887276353,1.708160293,189750,0.209325042,0.029,0.035,3.48,0.06875
84,spotsylvania county,142741.3333,0.99588331,0.282494086,233500,0.201133926,0.029,0.035,3.48,0.06875
85,stafford county,163561.1667,0.978616847,0.287348833,298916.6667,0.117235232,0.029,0.035,3.48,0.06875
86,surry county,6182.833333,1.002651892,5.203051389,202033.3333,0.219664285,0.029,0.035,3.48,0.06875
87,sussex county,10837.16667,0.381103484,1.726555736,133866.6667,0.317114722,0.029,0.035,3.48,0.06875
88,tazewell county,39766.66667,0.937256987,0.683854572,111016.6667,0.274843748,0.029,0.035,3.48,0.06875
89,warren county,41819.16667,0.96795181,0.77942647,213500,0.238429782,0.029,0.035,3.48,0.06875
90,washington county,54646.33333,0.958437374,0.531426758,156600,0.232759168,0.029,0.035,3.48,0.06875
91,westmoreland county,18065.83333,0.997251952,2.017936051,213333.3333,0.231807078,0.029,0.035,3.48,0.06875
92,wise county,36757.83333,0.896746905,0.683812986,95750,0.179964657,0.029,0.035,3.48,0.06875
93,wythe county,28970.5,1.001590579,1.11616154,157616.6667,0.313009955,0.029,0.035,3.48,0.06875
94,york county,70191.83333,0.996347197,0.597686672,320166.6667,0.107289696,0.029,0.035,3.48,0.06875
95,alexandria city,179811.6667,0.993301149,0.34382714,618033.3333,0.082012854,0.029,0.035,3.48,0.06875
96,bedford city,6177,0.995143273,3.252711672,139100,0.217257568,0.029,0.035,3.48,0.06875
97,bristol city,16089.16667,0.985372145,1.584197786,133650,0.216895031,0.029,0.035,3.48,0.06875
98,buena vista city,6197.333333,0.848136249,3.190492537,117016.6667,0.261330348,0.029,0.035,3.48,0.06875
99,charlottesville city,51767.16667,0.974391029,0.898481966,288350,0.126901608,0.029,0.035,3.48,0.06875
100,chesapeake city,256246.6667,0.965518174,0.148411189,253633.3333,0.15120893,0.029,0.035,3.48,0.06875
101,colonial heights city,17717.16667,0.981908195,1.667580451,147783.3333,0.172297263,0.029,0.035,3.48,0.06875
102,covington city,5197.5,0.957717401,5.35777168,81150,0.334075264,0.029,0.035,3.48,0.06875
103,danville city,39255.16667,0.962961763,0.639018746,92500,0.191287754,0.029,0.035,3.48,0.06875
104,emporia city,4966.833333,0.950340253,3.621938215,151016.6667,0.210025045,0.029,0.035,3.48,0.06875
105,fairfax city,25853.83333,0.967140414,1.921097013,561600,0.072041374,0.029,0.035,3.48,0.06875
106,falls church city,16771.66667,0.997501797,4.98356444,861300,-0.003556425,0.029,0.035,3.48,0.06875
107,franklin city,7924.333333,0.998557058,3.749937914,149800,0.206608879,0.029,0.035,3.48,0.06875
108,fredericksburg city,33799.66667,0.925740418,1.20112052,349150,0.10307874,0.029,0.035,3.48,0.06875
109,galax city,6404.666667,1.008901665,3.659865094,115750,0.254929,0.029,0.035,3.48,0.06875
110,hampton city,131983.1667,0.953143356,0.243193001,182250,0.16310765,0.029,0.035,3.48,0.06875
111,harrisonburg city,59516.83333,0.913098509,0.453636134,179833.3333,0.157090881,0.029,0.035,3.48,0.06875
112,hopewell city,22282.66667,0.995964852,1.123926802,110166.6667,0.219168125,0.029,0.035,3.48,0.06875
113,lexington city,7251.333333,0.410819737,2.471140753,171216.6667,0.103524764,0.029,0.035,3.48,0.06875
114,lynchburg city,86768.5,0.84939674,0.2751858,178150,0.105368667,0.029,0.035,3.48,0.06875
115,manassas city,47405,0.999516556,0.699094565,279750,0.177688369,0.029,0.035,3.48,0.06875
116,manassas park city,19712,0.988452182,1.714346529,236216.6667,0.111544008,0.029,0.035,3.48,0.06875
117,martinsville city,12233,0.966760084,2.00535466,83666.66667,0.200229809,0.029,0.035,3.48,0.06875
118,newport news city,178594.1667,0.946695295,0.165811429,187300,0.178453988,0.029,0.035,3.48,0.06875
119,norfolk city,249333.5,0.867005883,0.131300802,188000,0.131310813,0.029,0.035,3.48,0.06875
120,norton city,4119.666667,0.990143041,4.247945662,110350,0.166936746,0.029,0.035,3.48,0.06875
121,petersburg city,31475.66667,0.972266224,0.786895276,101183.3333,0.238655867,0.029,0.035,3.48,0.06875
122,poquoson city,11990.33333,0.994888885,3.635834175,316666.6667,0.188674311,0.029,0.035,3.48,0.06875
123,portsmouth city,93823.33333,0.967027229,0.296107669,162400,0.182387491,0.029,0.035,3.48,0.06875
124,radford city,18948.33333,0.889334293,1.2836506,170750,0.099790161,0.029,0.035,3.48,0.06875
125,richmond city,245164.5,0.954867517,0.152673823,234183.3333,0.14459237,0.029,0.035,3.48,0.06875
126,roanoke city,103529.6667,0.979354025,0.286471123,139250,0.230731532,0.029,0.035,3.48,0.06875
127,salem city,26410.33333,0.885916098,1.330289144,188283.3333,0.159900457,0.029,0.035,3.48,0.06875
128,staunton city,25099,0.946392635,1.330929344,166233.3333,0.180225433,0.029,0.035,3.48,0.06875
129,suffolk city,95651,0.99442635,0.391466663,237933.3333,0.175062083,0.029,0.035,3.48,0.06875
130,virginia beach city,465126.5,0.974273373,0.089395538,266983.3333,0.123107075,0.029,0.035,3.48,0.06875
131,waynesboro city,22890.83333,0.977556882,1.168792528,163050,0.186381669,0.029,0.035,3.48,0.06875
132,williamsburg city,16253.83333,0.800741468,2.182271275,249583.3333,0.083526283,0.029,0.035,3.48,0.06875
133,winchester city,29678.33333,0.942382774,1.105395631,195866.6667,0.146686516,0.029,0.035,3.48,0.06875
